name_ko	name_en	type	country
곶감	Gotgam	한과	KO
다식	Dasik	한과	KO
도라지정과	Dorajijeonggwa	한과	KO
매작과	Maejakgwa	한과	KO
산자	Sanja	한과	KO
송화다식	Songhwadasik	한과	KO
수삼정과	Susamjeonggwa	한과	KO
약과	Yakgwa	한과	KO
흑임자다식	Heugimjadasik	한과	KO
기자차	Gugijacha	음청류	KO
녹차	Nokcha	음청류	KO
단호박식혜	Danhobaksikhye	음청류	KO
대추차	Daechucha	음청류	KO
막걸리	Makgeolli	음청류	KO
매실차	Maesilcha	음청류	KO
모과차	Mogwacha	음청류	KO
미숫가루	Misutgaru	음청류	KO
생강차	Saenggangcha	음청류	KO
수정과	Sujeonggwa	음청류	KO
식혜	Sikhye	음청류	KO
쌍화차	Ssanghwacha	음청류	KO
오미자화채	Omijahwachae	음청류	KO
유자차	Yujacha	음청류	KO
유자화채	Yujahwachae	음청류	KO
인삼차	Insamcha	음청류	KO
팥빙수	Patbingsu	음청류	KO
